function, code1, hexcode1, code2, hexcode2
"MENU POP UP","sendir,1:1,1,39000,1,1,94,23,47,23,23,23,23,23,47,23,23,23,47,23,23,23,23,23,47,23,23,23,47,23,47,23,23,23,47,23,23,23,23,23,23,23,47,23,47,23,47,504 ","0000 0069 0000 0015 005e 0017 002f 0017 0017 0017 0017 0017 002f 0017 0017 0017 002f 0017 0017 0017 0017 0017 002f 0017 0017 0017 002f 0017 002f 0017 0017 0017 002f 0017 0017 0017 0017 0017 0017 0017 002f 0017 002f 0017 002f 01f8",,

"MENU TOP","sendir,1:1,1,39000,1,1,95,23,23,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,512 ","0000 0069 0000 0015 005f 0017 0017 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0200",,

"NETFLIX","sendir,1:1,1,40000,1,1,96,24,48,24,48,24,24,24,48,24,24,24,24,24,48,24,24,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,24,24,24,24,48,24,48,24,48,576 ","0000 0067 0000 0015 0060 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0240",,

"NEXT","sendir,1:1,1,39000,1,1,95,23,23,23,48,23,48,23,23,23,48,23,23,23,48,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,490 ","0000 0069 0000 0015 005f 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 01ea",,

"OPEN/CLOSE","sendir,1:1,1,39000,1,1,95,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,512 ","0000 0069 0000 0015 005f 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0200",,

"PAUSE","sendir,1:1,1,40000,1,1,96,24,48,24,24,24,24,24,48,24,48,24,24,24,24,24,24,24,48,24,24,24,48,24,48,24,24,24,48,24,24,24,24,24,24,24,48,24,48,24,48,518 ","0000 0067 0000 0015 0060 0018 0030 0018 0018 0018 0018 0018 0030 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0018 0018 0030 0018 0030 0018 0018 0018 0030 0018 0018 0018 0018 0018 0018 0018 0030 0018 0030 0018 0030 0206",,

"PLAY","sendir,1:1,1,39000,1,1,95,23,23,23,48,23,23,23,48,23,48,23,23,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,512 ","0000 0069 0000 0015 005f 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0200",,

"PLAY MODE","sendir,1:1,1,39000,1,1,95,23,23,23,23,23,23,23,23,23,48,23,48,23,48,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,512 ","0000 0069 0000 0015 005f 0017 0017 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0200",,

"POWER OFF","sendir,1:1,1,39000,1,1,95,23,48,23,48,23,48,23,48,23,23,23,48,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,512 ","0000 0069 0000 0015 005f 0017 0030 0017 0030 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0200",,

"POWER ON","sendir,1:1,1,39000,1,1,95,23,23,23,48,23,48,23,48,23,23,23,48,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,512 ","0000 0069 0000 0015 005f 0017 0017 0017 0030 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0200",,

"POWER TOGGLE","sendir,1:1,1,39000,1,1,95,23,48,23,23,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,512 ","0000 0069 0000 0015 005f 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 0200",,

"PREVIOUS","sendir,1:1,1,39000,1,1,95,23,48,23,48,23,48,23,23,23,48,23,23,23,48,23,23,23,48,23,23,23,48,23,48,23,23,23,48,23,23,23,23,23,23,23,48,23,48,23,48,467 ","0000 0069 0000 0015 005f 0017 0030 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0017 0017 0030 0017 0030 0017 0017 0017 0030 0017 0017 0017 0017 0017 0017 0017 0030 0017 0030 0017 0030 01d3",,

